Geneid	Sample	Source	Stage	Tissue	Logcpm
ENSG00000100033	AA_Colon	A	Adult	Colon	0.7519864926996398
ENSG00000184113	AA_Colon	A	Adult	Colon	3.2030948965805286
ENSG00000184702	AA_Colon	A	Adult	Colon	1.213723822937145
ENSG00000211637	AA_Colon	A	Adult	Colon	3.505812457390308
ENSG00000211638	AA_Colon	A	Adult	Colon	5.0404037734618745
ENSG00000211640	AA_Colon	A	Adult	Colon	3.968966519283644
ENSG00000211642	AA_Colon	A	Adult	Colon	5.296830617583014
ENSG00000211644	AA_Colon	A	Adult	Colon	4.788238344922352
ENSG00000211648	AA_Colon	A	Adult	Colon	5.169417850637461
ENSG00000211649	AA_Colon	A	Adult	Colon	4.701487239558754
ENSG00000211651	AA_Colon	A	Adult	Colon	6.0452535406073915
ENSG00000211653	AA_Colon	A	Adult	Colon	5.911104968122918
ENSG00000211659	AA_Colon	A	Adult	Colon	3.480772054165655
ENSG00000211660	AA_Colon	A	Adult	Colon	6.25085521127991
ENSG00000211662	AA_Colon	A	Adult	Colon	5.7089668883225775
ENSG00000211663	AA_Colon	A	Adult	Colon	5.532873737227308
ENSG00000211666	AA_Colon	A	Adult	Colon	7.18141844780988
ENSG00000211668	AA_Colon	A	Adult	Colon	5.792741397509566
ENSG00000211669	AA_Colon	A	Adult	Colon	3.512005233552319
ENSG00000211671	AA_Colon	A	Adult	Colon	5.98975694359701
ENSG00000211673	AA_Colon	A	Adult	Colon	4.017656329770446
ENSG00000211677	AA_Colon	A	Adult	Colon	7.430996491546607
ENSG00000211679	AA_Colon	A	Adult	Colon	7.522024371163422
ENSG00000100228	AA_Colon	A	Adult	Colon	0.5258534831139334
ENSG00000099958	AA_Colon	A	Adult	Colon	4.525951055429436
ENSG00000184674	AA_Colon	A	Adult	Colon	4.346995451583592
ENSG00000133454	AA_Colon	A	Adult	Colon	0
ENSG00000225783	AA_Colon	A	Adult	Colon	3.4227896476091764
ENSG00000169184	AA_Colon	A	Adult	Colon	2.028037105610434
ENSG00000183963	AA_Colon	A	Adult	Colon	4.754683656547712
ENSG00000100170	AA_Colon	A	Adult	Colon	5.334008029465766
ENSG00000175329	AA_Colon	A	Adult	Colon	5.614281087721654
ENSG00000100297	AA_Colon	A	Adult	Colon	4.073157266306229
ENSG00000198125	AA_Colon	A	Adult	Colon	2.952961836173114
ENSG00000221963	AA_Colon	A	Adult	Colon	7.322869799377148
ENSG00000100336	AA_Colon	A	Adult	Colon	2.191292823754531
ENSG00000100342	AA_Colon	A	Adult	Colon	3.955397245986015
ENSG00000128311	AA_Colon	A	Adult	Colon	6.353567863012722
ENSG00000128283	AA_Colon	A	Adult	Colon	2.191292823754531
ENSG00000100079	AA_Colon	A	Adult	Colon	3.0412467459199632
ENSG00000100092	AA_Colon	A	Adult	Colon	2.943828774728656
ENSG00000100097	AA_Colon	A	Adult	Colon	6.136262131655671
ENSG00000100139	AA_Colon	A	Adult	Colon	3.4029325028155712
ENSG00000128346	AA_Colon	A	Adult	Colon	1.5144355801984348
ENSG00000100146	AA_Colon	A	Adult	Colon	1.302143722710306
ENSG00000128298	AA_Colon	A	Adult	Colon	2.045219502811628
ENSG00000185022	AA_Colon	A	Adult	Colon	3.1081801017259942
ENSG00000221890	AA_Colon	A	Adult	Colon	1.086712600474814
ENSG00000100321	AA_Colon	A	Adult	Colon	1.60991114424511
ENSG00000177096	AA_Colon	A	Adult	Colon	3.518171540767235
ENSG00000138944	AA_Colon	A	Adult	Colon	3.124439240624799
ENSG00000077942	AA_Colon	A	Adult	Colon	5.62002622610549
ENSG00000075275	AA_Colon	A	Adult	Colon	1.5144355801984348
ENSG00000100033	AA_Heart	A	Adult	Heart	1.3367469533449354
ENSG00000184113	AA_Heart	A	Adult	Heart	4.42005980535323
ENSG00000184702	AA_Heart	A	Adult	Heart	4.0440900416822485
ENSG00000211637	AA_Heart	A	Adult	Heart	0.4661863387030096
ENSG00000211638	AA_Heart	A	Adult	Heart	0.1314093387699613
ENSG00000211640	AA_Heart	A	Adult	Heart	0.19288197991710868
ENSG00000211642	AA_Heart	A	Adult	Heart	0.5151416722286697
ENSG00000211644	AA_Heart	A	Adult	Heart	0.308486743827728
ENSG00000211648	AA_Heart	A	Adult	Heart	0.56249016822032
ENSG00000211649	AA_Heart	A	Adult	Heart	0
ENSG00000211651	AA_Heart	A	Adult	Heart	0.36299121155997993
ENSG00000211653	AA_Heart	A	Adult	Heart	0.652765757966033
ENSG00000211659	AA_Heart	A	Adult	Heart	0.9305106927329441
ENSG00000211660	AA_Heart	A	Adult	Heart	1.1937108306158575
ENSG00000211662	AA_Heart	A	Adult	Heart	0.8939593177795894
ENSG00000211663	AA_Heart	A	Adult	Heart	0.1314093387699613
ENSG00000211666	AA_Heart	A	Adult	Heart	0.9661588571235147
ENSG00000211668	AA_Heart	A	Adult	Heart	0.6083339640687752
ENSG00000211669	AA_Heart	A	Adult	Heart	0.25184199455309986
ENSG00000211671	AA_Heart	A	Adult	Heart	0.6083339640687752
ENSG00000211673	AA_Heart	A	Adult	Heart	0.8564577708969369
ENSG00000211677	AA_Heart	A	Adult	Heart	1.5158046385157746
ENSG00000211679	AA_Heart	A	Adult	Heart	1.5862255286325377
ENSG00000100228	AA_Heart	A	Adult	Heart	0.652765757966033
ENSG00000099958	AA_Heart	A	Adult	Heart	0.737723543593579
ENSG00000184674	AA_Heart	A	Adult	Heart	3.2092846324358124
ENSG00000133454	AA_Heart	A	Adult	Heart	7.492973169436766
ENSG00000225783	AA_Heart	A	Adult	Heart	0.8179553301877475
ENSG00000169184	AA_Heart	A	Adult	Heart	3.0271967413237326
ENSG00000183963	AA_Heart	A	Adult	Heart	4.085198472401811
ENSG00000100170	AA_Heart	A	Adult	Heart	5.152555238995412
ENSG00000175329	AA_Heart	A	Adult	Heart	0
ENSG00000100297	AA_Heart	A	Adult	Heart	2.5865411129147655
ENSG00000198125	AA_Heart	A	Adult	Heart	10.764116864374294
ENSG00000221963	AA_Heart	A	Adult	Heart	5.335747932225132
ENSG00000100336	AA_Heart	A	Adult	Heart	3.1092029586005085
ENSG00000100342	AA_Heart	A	Adult	Heart	3.993161978542105
ENSG00000128311	AA_Heart	A	Adult	Heart	3.728374782631325
ENSG00000128283	AA_Heart	A	Adult	Heart	3.3236329214671843
ENSG00000100079	AA_Heart	A	Adult	Heart	0.25184199455309986
ENSG00000100092	AA_Heart	A	Adult	Heart	1.1937108306158575
ENSG00000100097	AA_Heart	A	Adult	Heart	6.320359420655935
ENSG00000100139	AA_Heart	A	Adult	Heart	3.728374782631325
ENSG00000128346	AA_Heart	A	Adult	Heart	1.5158046385157746
ENSG00000100146	AA_Heart	A	Adult	Heart	0.7783971006771188
ENSG00000128298	AA_Heart	A	Adult	Heart	0.25184199455309986
ENSG00000185022	AA_Heart	A	Adult	Heart	3.163954101624778
ENSG00000221890	AA_Heart	A	Adult	Heart	3.231426730447633
ENSG00000100321	AA_Heart	A	Adult	Heart	3.3508579287641895
ENSG00000177096	AA_Heart	A	Adult	Heart	2.2956912523076647
ENSG00000138944	AA_Heart	A	Adult	Heart	1.2812224129634546
ENSG00000077942	AA_Heart	A	Adult	Heart	4.601020453206074
ENSG00000075275	AA_Heart	A	Adult	Heart	3.779363676683886
ENSG00000100033	AA_Kidney	A	Adult	Kidney	2.7667254989804175
ENSG00000184113	AA_Kidney	A	Adult	Kidney	2.568731467104473
ENSG00000184702	AA_Kidney	A	Adult	Kidney	0.4640952030131022
ENSG00000211637	AA_Kidney	A	Adult	Kidney	0.20386615202252464
ENSG00000211638	AA_Kidney	A	Adult	Kidney	0.05373026911622234
ENSG00000211640	AA_Kidney	A	Adult	Kidney	0.4238543176324597
ENSG00000211642	AA_Kidney	A	Adult	Kidney	0.20386615202252464
ENSG00000211644	AA_Kidney	A	Adult	Kidney	0.2506293204612139
ENSG00000211648	AA_Kidney	A	Adult	Kidney	0.7510467552128088
ENSG00000211649	AA_Kidney	A	Adult	Kidney	0.3398401585108534
ENSG00000211651	AA_Kidney	A	Adult	Kidney	0.6844804543509168
ENSG00000211653	AA_Kidney	A	Adult	Kidney	0.845469249275586
ENSG00000211659	AA_Kidney	A	Adult	Kidney	0.4238543176324597
ENSG00000211660	AA_Kidney	A	Adult	Kidney	0.541358556180638
ENSG00000211662	AA_Kidney	A	Adult	Kidney	1.3537484077587751
ENSG00000211663	AA_Kidney	A	Adult	Kidney	0.38245871360907596
ENSG00000211666	AA_Kidney	A	Adult	Kidney	1.3959639984942898
ENSG00000211668	AA_Kidney	A	Adult	Kidney	0.6146935707263884
ENSG00000211669	AA_Kidney	A	Adult	Kidney	0.7510467552128088
ENSG00000211671	AA_Kidney	A	Adult	Kidney	0.3398401585108534
ENSG00000211673	AA_Kidney	A	Adult	Kidney	0.5032440464537431
ENSG00000211677	AA_Kidney	A	Adult	Kidney	0.9902833090233392
ENSG00000211679	AA_Kidney	A	Adult	Kidney	1.7122487394819956
ENSG00000100228	AA_Kidney	A	Adult	Kidney	3.6435553897254733
ENSG00000099958	AA_Kidney	A	Adult	Kidney	0.38245871360907596
ENSG00000184674	AA_Kidney	A	Adult	Kidney	4.314457774853525
ENSG00000133454	AA_Kidney	A	Adult	Kidney	0.3398401585108534
ENSG00000225783	AA_Kidney	A	Adult	Kidney	0.38245871360907596
ENSG00000169184	AA_Kidney	A	Adult	Kidney	0.8146766588924789
ENSG00000183963	AA_Kidney	A	Adult	Kidney	3.647929133955819
ENSG00000100170	AA_Kidney	A	Adult	Kidney	2.5961506071906486
ENSG00000175329	AA_Kidney	A	Adult	Kidney	0
ENSG00000100297	AA_Kidney	A	Adult	Kidney	2.821961425159148
ENSG00000198125	AA_Kidney	A	Adult	Kidney	0.10553110548991215
ENSG00000221963	AA_Kidney	A	Adult	Kidney	6.84818520205744
ENSG00000100336	AA_Kidney	A	Adult	Kidney	3.47163253646631
ENSG00000100342	AA_Kidney	A	Adult	Kidney	3.855047270817554
ENSG00000128311	AA_Kidney	A	Adult	Kidney	5.606887970814245
ENSG00000128283	AA_Kidney	A	Adult	Kidney	3.639168345508972
ENSG00000100079	AA_Kidney	A	Adult	Kidney	4.5025028603309245
ENSG00000100092	AA_Kidney	A	Adult	Kidney	0.5784919835974865
ENSG00000100097	AA_Kidney	A	Adult	Kidney	3.5717096822150705
ENSG00000100139	AA_Kidney	A	Adult	Kidney	3.2932652954673243
ENSG00000128346	AA_Kidney	A	Adult	Kidney	1.1713294576046
ENSG00000100146	AA_Kidney	A	Adult	Kidney	0.20386615202252464
ENSG00000128298	AA_Kidney	A	Adult	Kidney	3.043962508041486
ENSG00000185022	AA_Kidney	A	Adult	Kidney	3.201031894413131
ENSG00000221890	AA_Kidney	A	Adult	Kidney	1.3537484077587751
ENSG00000100321	AA_Kidney	A	Adult	Kidney	2.1047499332361186
ENSG00000177096	AA_Kidney	A	Adult	Kidney	1.5902883823426455
ENSG00000138944	AA_Kidney	A	Adult	Kidney	0.1555362893344875
ENSG00000077942	AA_Kidney	A	Adult	Kidney	3.8283195941793817
ENSG00000075275	AA_Kidney	A	Adult	Kidney	5.8530963434996295
ENSG00000100033	AA_Liver	A	Adult	Liver	1.7813227305988237
ENSG00000184113	AA_Liver	A	Adult	Liver	2.6837429549389107
ENSG00000184702	AA_Liver	A	Adult	Liver	1.097664560507353
ENSG00000211637	AA_Liver	A	Adult	Liver	0.7720002356622354
ENSG00000211638	AA_Liver	A	Adult	Liver	0.3507141036220764
ENSG00000211640	AA_Liver	A	Adult	Liver	0.9586677056850035
ENSG00000211642	AA_Liver	A	Adult	Liver	0.3945193650488229
ENSG00000211644	AA_Liver	A	Adult	Liver	1.224438705459979
ENSG00000211648	AA_Liver	A	Adult	Liver	1.3850648028541446
ENSG00000211649	AA_Liver	A	Adult	Liver	0.9875590796665099
ENSG00000211651	AA_Liver	A	Adult	Liver	1.3184022320020956
ENSG00000211653	AA_Liver	A	Adult	Liver	1.6428896635183923
ENSG00000211659	AA_Liver	A	Adult	Liver	1.2485095283809045
ENSG00000211660	AA_Liver	A	Adult	Liver	1.6609378409449462
ENSG00000211662	AA_Liver	A	Adult	Liver	2.9193947844091923
ENSG00000211663	AA_Liver	A	Adult	Liver	1.4487826634988592
ENSG00000211666	AA_Liver	A	Adult	Liver	2.290423339972618
ENSG00000211668	AA_Liver	A	Adult	Liver	1.6061015002838226
ENSG00000211669	AA_Liver	A	Adult	Liver	0.16084183741578456
ENSG00000211671	AA_Liver	A	Adult	Liver	1.6428896635183923
ENSG00000211673	AA_Liver	A	Adult	Liver	1.6787630217159555
ENSG00000211677	AA_Liver	A	Adult	Liver	3.0956061847093648
ENSG00000211679	AA_Liver	A	Adult	Liver	2.941712214889031
ENSG00000100228	AA_Liver	A	Adult	Liver	0.9586677056850035
ENSG00000099958	AA_Liver	A	Adult	Liver	1.9668619637426943
ENSG00000184674	AA_Liver	A	Adult	Liver	5.504127253187033
